source,target,value
Space Angels,Accion,1
Space Angels,Analytical Space,1
Space Angels,Isotropic,1
Space Angels,Leo Labs,1
Space Angels,Made in Space,1
Space Angels,Planet,1
Space Angels,SpaceX,1
Hempisphere Ventures,Akash Systems,1
Hempisphere Ventures,Analytical Space,1
Hempisphere Ventures,Leo Labs,1
Hempisphere Ventures,Planet,1
Hempisphere Ventures,SpaceX,1
Hempisphere Ventures,Lynk,1
DCVC,Akash Systems,1
DCVC,Planet,1
RRE Ventures,Accion,1
RRE Ventures,Lynk,1
Lux,Planet,1
Marcbell,Leo Labs,1
Marcbell,Isotropic,1
Marcbell,Made in Space,1
Founders Fund,Akash Systems,1
Founders Fund,SpaceX,1
