year,crude_birth_rate
1960,31.75268168
1961,31.03141787
1962,34.88311508
1963,36.05599883
1964,34.94747431
1965,34.33291064
1966,33.30251779
1967,33.03560298
1968,33.18136483
1969,32.66948777
1970,32.37312853
1971,31.56895463
1972,31.07080601
1973,30.4514111
1974,29.60586425
1975,28.98159272
1976,28.1478624
1977,27.82246052
1978,27.55214339
1979,27.41342502
1980,27.42153175
1981,27.89183179
1982,28.0919775
1983,27.48725861
1984,27.22171197
1985,27.25404242
1986,27.33203863
1987,27.27541927
1988,26.79034963
1989,26.27368544
1990,25.87852389
1991,25.21406743
1992,24.58223731
1993,24.18254049
1994,23.80441951
1995,23.36793984
1996,23.07914553
1997,22.74925519
1998,22.33649439
1999,21.91053365
2000,21.64935052
2001,21.30735376
2002,21.05398669
2003,20.83856764
2004,20.68509563
2005,20.55149276
2006,20.40002278
2007,20.30626869
2008,20.19549159
2009,20.0026241
2010,19.78140725
2011,19.5996337
2012,19.48581288
2013,19.27786814
2014,19.19549139
2015,18.97547559
2016,18.9627177
2017,18.63349326
2018,18.17484976
